concept,AGTA,AKLANON,ARTA,ATTA PAMPLONA,BAJAU WEST COAST,BALANGAW,BALANGINGI SAMA,BANTON BANTOANON,BASQUE,BATAK PALAWAN,BILAAN KORONADAL,BILAAN SARANGANI,BONGGI,BONTOC GUINAANG,BUHI,BUKIDNON BINUKID,BUTUANON,CAIJIA,CEBUANO,CENTRAL TAGBANWA,CUYONON,DARAGA,DUMAGAT CASIGURAN,DUPANINGAN AGTA,ENGLISH,ESKAYAN,ESTONIAN,FINNISH,FUZHOU CHINESE,GADDANG,HANUNOO,HIGAONON BINUKID,HUNGARIAN,IBANAG,IDAAN,IFUGAO AMGANAD,IFUGAO BATAD,IFUGAO BAYNINAN,ILOKANO,ILONGOT KAKIDUGEN,INIBALOI,IRANUN,IRIGA,ISNAG,ITAWIT,ITNEG BINONGAN,JAPANESE,KADAZAN,KAGAYANEN,KALAGAN,KALINGA GUINAANG,KALINGA LIMOS,KALLAHAN KAYAPA PROPER,KANKANAY NORTHERN,KAPAMPANGAN,KINARAY A,KOREAN,LEGAZPI,LIBON,LIVE,MAMANWA,MANIDE,MANOBO ATA,MANOBO DIBABAWON,MANOBO ILIANEN,MANOBO KALAMANSIG COTABATO,MANOBO SARANGANI,MANOBO TIGWA,MANOBO WESTERN BUKIDNON,MANSAKA,MAPUN,MARANAO,MASBATENYO,MINANGALI LOWER TANUDAN KALINGA,MOKSHA,MOLBOG,MONGOLIAN,MORO MAGINDANAU,NORTHERN CATANDUANES,NORTHERN SORSOGON,OAS,PALAWANO BATAK,PANGASINAN,PANGUTARAN SAMA,PROTO PALAWAN,QUEZON PALAWAN,ROMBLOMANON 2,SAMAL,SAMBAL BOTOLAN,SANGIL SARANGANI ISLANDS,SEDANG,SIBUTU SOUTHERN SAMA,SOGODNIN BORACAY,SOUTH SAAMI,SOUTHERN CATANDUANES,SOUTHERN SORSOGON,SOUTHWEST PALAWANO,SPANISH,SUBANON SIOCON,SUBANUN SINDANGAN,SURIGAONON,TAGABAWA,TAGABILI,TAGALOG,TAGBANWA ABORLAN,TAGBANWA KALAMIAN,TAUSUG,TIMUGON MURUT,TIRURAY,TURKISH,UGARITIC,UMIRAY DUMAGET AGTA,WARAY WARAY,YAKAN,YOGAD,ZAMBOANGUENO,IMOROD,BABUYAN,BISAYA SABAH,CAPIZNON,FINALLIG,HILIGAYNON,INABAKNON,KALAGAN KAAGAN,KANKANAEY,MANDAYAN BOSO,MANDAYAN ISLAM PISO,SINAUNA,SOUTHERN KALINGA
tooth,Nipon,Nipun,NA,Nipan,impon,bub7o,emp~on,Nisih,horc,nip3n,kifan,kifan,kuhud,bab7a,Nipin,Nipun,Nipon,ch~eipei,Nipun,Niti,ip3n,Nipin,Nip3n,Nipan,tu8,prind~ido,hammas,%hammas,Nai,Nipan,Nipun,Nipun,fog,Nipan,nipon,boba,baba,buba,Nipen,b37b3,saNi,Nipen,Nipin,Nipan,NipEn,Nip3n,ha,nipon,Nip3n,untu,5ipon,Nipon,haNi,bab7a,ipan,Nipon,i,Nipun,Nipon,ambaz,Nip3n,Nipen,Nipon,Nip3n,Nip3n,Nip3n,Nipon,Nip3n,Nip3n,untu,imp~on,Nipen,Nipon,baba,pey,nipon,Sut,Nipun,tiNu,Nipun,Nipin,nip3n,Nipen,NA,nip3n,nip3n,Nipun,empon,Nip3n,isi,honeN,empon,hipon,baeni3,tiNu,Nipun,nipen,diente,Nisi,Nisi,Nipon,Nipan,nihih,Nipin,nip3n,NA,ipun,dipon,kifen,diS,Sn,Nipon,Nipon,imp~en,Nipan,dy~e*te,Nepen,5ipen,ipan,unto,fiab,Nipon,imp~on,untu,baba,untu,untu,Nip3n,fafa
tree,koyu,NA,ayu,kayu,pon,awoy,kayu,NA,zuhaic,kayu,kayu,kayo,NA,ka73w,kawuy,kayu,NA,so,NA,kayo,NA,kawuy,kayo7,kayu7,tri,NA,pu,puu,ch~iu,kayo,NA,kayu,fa,NA,NA,kayiw,ayiw,kayiw,NA,kiyu,kiy3w,NA,kawuy,kayu,NA,kayo,ki,kazu,kauy,kawuy,kayu,kayu,kallahan,ka7iw,NA,kahoy,namu,kahuy,kawuy,pu,liwa7an,kahew,kayu,kayu,kayu,kayu,kayo,kayu,kuyu,ka7uy,NA,NA,NA,NA,Sufta,kayu,mot,kayu,kahuy,kahuy,kawuy,NA,NA,NA,kayu,kayu,kahuy,kayu,kayo,kayu,loaN,NA,NA,moer3,kahuy,kahuy,NA,arbol,kayu,gayu,NA,kayu,koyuh,punuNkahoy,kayu,ayu7,kahuy,NA,kayew,ayaC Sejere,XsX~,NA,NA,NA,kayu,%pu*o,NA,NA,kayu,NA,NA,NA,NA,kawuy,NA,kauy,kauy,NA,NA
two,duwo,dawah,talip,dua,duo,duwo,duwa,ruha,bi,dua,lw3,lw3,dua,dowa,duwa,daruwa,duwa,ta,duha,dua,darwa,duwa,3duwa7,duwa,tu,%tri,kaks,kaksi,naN,addwa,duwa,daruwa,ketti,duwa,duo,duwa,duwa,duwa,dua,duwa,Cowa,dua,darawa,duwa,duE,dowa,futacu,duvo,darawa,duwa,duwa,duwa,duwa,dowa,adwa7,NA,tul,duwa,duwa,kakS,dowa,NA,dadawa,dadua,d3ruwa,duwa,dowa,dadua,d3zuwa,duwa,duwa,doa,duha,duwa,kafta,dua,xoyor,dua,dawha,duwa,duwa,dua,duara,duwa,dua,dua,duha,dua,loa,dalua,pea,duwa,darwa,gekt3,duwa,duwa,dua,dos,dua7,dua7,duha,duwa,l3wuh,dalawa,dua,durua7,duah,dond~o7,dos,iki,8n,aduwa,duha,duwe,addu,dos,dowa,dowa,NA,NA,Cowa,NA,NA,duwa,dowE,duwa,duwa,dar7a,Cuwa
walk,NA,NA,NA,NA,NA,NA,NA,NA,ibili,NA,NA,NA,NA,NA,NA,hipanaw,NA,NA,NA,NA,NA,NA,NA,NA,wok,NA,kondi,kEvele,NA,NA,lumakaw,hipanaw,men,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aruku,NA,NA,NA,NA,NA,NA,NA,lakad,NA,koro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yakams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lam CeaN,NA,NA,NA,NA,NA,NA,anda,NA,NA,NA,NA,NA,lakad,NA,NA,NA,NA,NA,yiri,NA,NA,NA,NA,NA,NA,alam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
water,donum,tubi7,wagat,danum,buwe7,d3num,bohe7,tubiq,ur,danum,e7el,ye7el,beig,danom,tubig,wahig,tubig,sr,tubig,wai,tubig,tubig,dinom,dinom,wat3r,koly~ar,vesi,%vesi,cui,danum,danum,wahig,viz,danum,sapa7,litiN,danum,leteN,danum,d3num,Canom,aig,tubig,danum,dEnum,danom,mizu,vaig,waig,tubig,danum,danum,danum,danom,danum,tubig,mul,tubig,tubig,veic,sapa7,NA,woig,w3hig,wayig,way3g,wayog,w3ig,wahig,tubig,bohe7,ig,tubig,danum,vy~edy~,danum,us,ig,tubig,tubig,tubig,danum,danom,bohe7,danum,danum,tubi7,bohe7,lanom,ake7,tea,bohe7,awad,Cy~aeci3,tubig,tubig,danom,agw~a,tubig,tubig,tubig,wayig,el,tubig,danum,wai7,tubig,timug,reguwas,su,my,orat,tubig,bohe7,danum,agw~a,ranom,ranom,aiek,tubi,Canom,tubig,buwahi7,tubig,danom,tubig,tubig,la7u,Canum
we,ikitam,kitah,me7aduami,sittam,kiti,ditaw,kitabi,kita,gu,kitami,ato,ito,sesia,datako,kita,yaNkuy,kita,Nuo,kita,kita,kita,kita,sikitam,hikitam,wi,arh~itika,meie,%me,NuaikoneiN,ikkanetam,kita,yaNkuy,mi,sitam,kito,dita77u,ditu7u,ditu7u,datayo,sikisi,si7kito,sekita,kita,dakami,ikEmi,ditayo,wareware,toko,kay,kitadun,dita7o,dikami,hi7gatayu,datako,itamu,kita,uri,kita,kita,meg,kita,kita,sikanta,kin3w,sikita,kita,sikitadon,sikanta,sikit3w,kita,kitabi,kita,kita,ditaku,my~i5,kay,py~it,ta,kita,kita,kita,kitami,sikami,kita,kami,kami,kita,kitam,hitamo,ikame,pa,kita,ikam,miyieh,kita,kita,kami,nosotros,ita,ita,kita,ki,t3kuy,tayo,tami,ita,kitaniuh,to,betom,biz,NA,ikami,kita,kita,NA,%kita,NA,NA,NA,NA,NA,kita,kami7,NA,NA,NA,NA,NA,NA
what,NA,NA,NA,NA,NA,NA,NA,NA,zer,NA,NA,NA,NA,NA,NA,inu,NA,NA,NA,NA,NA,NA,NA,NA,wh~at,NA,mis,mikE,NA,NA,hintay,inu,ami,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan no,NA,NA,NA,NA,NA,NA,NA,naN,NA,oton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,my~ezy~e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ki klai,NA,NA,NA,NA,NA,NA,ke,NA,NA,NA,NA,NA,ano,NA,NA,NA,NA,NA,ne,NA,NA,NA,NA,NA,NA,ikoNo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
white,NA,NA,NA,NA,NA,NA,NA,NA,zuri,NA,NA,NA,NA,NA,NA,maputi,NA,NA,NA,NA,NA,NA,NA,NA,wh~Eit,NA,valge,valkoinen,NA,NA,abukay,maputi,feher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Siroi,NA,NA,NA,NA,NA,NA,NA,maputi7,NA,huin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,akSa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,boN,NA,NA,NA,NA,NA,NA,blanko,NA,NA,NA,NA,NA,puti,NA,NA,NA,NA,NA,beyaz,NA,NA,NA,NA,NA,NA,lavaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
who,NA,NA,NA,NA,NA,NA,NA,NA,nork,NA,NA,NA,NA,NA,NA,sin7u,NA,NA,NA,NA,NA,NA,NA,NA,hu,NA,kes,kuka,NA,NA,sintay,sin7u,aki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tare,NA,NA,NA,NA,NA,NA,NA,ninu,NA,nuga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kiye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kobo,NA,NA,NA,NA,NA,NA,kien,NA,NA,NA,NA,NA,sino,NA,NA,NA,NA,NA,kim,NA,NA,NA,NA,NA,NA,sino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
woman,NA,NA,NA,NA,NA,NA,NA,NA,andre,NA,NA,NA,NA,NA,NA,bahi,NA,NA,NA,NA,NA,NA,NA,NA,wum3n,NA,naine,nainen,NA,NA,babayi,bahi,ni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,onna,NA,NA,NA,NA,NA,NA,NA,babai,NA,yoja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kodrai,NA,NA,NA,NA,NA,NA,muher,NA,NA,NA,NA,NA,babae,NA,NA,NA,NA,NA,kad3n,NA,NA,NA,NA,NA,NA,mavakes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yellow,NA,NA,NA,NA,NA,NA,NA,NA,hori,NA,NA,NA,NA,NA,NA,makalawag,NA,NA,NA,NA,NA,NA,NA,NA,yElo,NA,kollane,keltainen,NA,NA,dilaw,makalawag,sarga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kiro,NA,NA,NA,NA,NA,NA,NA,dilo,NA,nurun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ty~uZa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,triN,NA,NA,NA,NA,NA,NA,amariyo,NA,NA,NA,NA,NA,dilaw,NA,NA,NA,NA,NA,sar3,NA,NA,NA,NA,NA,NA,aray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
you,iko,ikaw,taw,sikaw,kau,he7a,ka7a,ikaw,zuek,ikaw,g3,g3,NA,sik7a,kamu,yaNka,ikaw,nu,ikaw,ka,ikaw,kamu,siko,hikaw,yu,samo,sina,%sinE,ne,ikka,kawu,yaNka,te,sikaw,ikaw,he77a,he77a,he77a,sika,sika,si7kam,ta,kamu,ikaw,ikEw,dika,anata,ko,ka,ikaw,si7a,sika,hi7gam,sik7a,ika,ikaw,taNsin,kamu,kamu,sinasa,iko,hika,sikoykow,sikuna,sikuna,kuna,sikona,sik3ik3w,sik3w,ikaw,ko,ka,ikaw,sika,ton,ko,Ch~i,ka,kamu,kamu,kamu,ikaw,sika,ka7u,ka,k3,7ikaw,ka7a,hika,ikaw,eh,kow,NA,datn3,kamu,kamu,ikew,ustet,ika,ya7a,ikaw,nu,u7uh,ikaw,ka,yawa,kaw,kow,be7em,sen,ata,ikaw,ikaw,ka7u,NA,ebos,NA,NA,NA,NA,NA,ikaw,NA,NA,NA,NA,NA,NA,NA
